FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
692,Lake Street,4549500,6,2,0,2010,BL,38.4437667591,52.1240756846676
693,Lake Street,4547800,6,2,0,2010,BL,26.2812844875,35.6334310728171
694,Commonwealth Avenue,6291200,3,2,1,2013,BL,163.964869541,221.49775422927
695,Lake Street,4529700,6,2,0,2010,BL,170.400177032,230.778065541473
696,Washington Street,5799100,3,2,0,2010,BL,21.4186459435,28.9536210234112
697,Faneuil Street,4486300,6,2,0,2017,SLM,33.7430222065,45.6074011531484
698,Faneuil Street,5376500,6,2,0,2017,SLM,23.253208747,31.420990641053
699,Veterans Of Foreign Wars Parkway,6212100,2,3,1,2013,BL,180.292507647,243.392504733796
700,Beacon Street,5679100,3,2,0,2009,BFBL,262.913014474,355.572394238207
701,Washington Street,5798700,3,2,0,2010,BL,71.6022751575,96.7413012909922
702,Washington Street,4506700,3,2,0,2010,BL,105.722738646,142.840051045686
703,Washington Street,4504300,3,2,0,2010,BLSL,49.8005058428,67.2841451735506
704,Faneuil Street,4481900,6,2,0,2017,BL,31.8953349606,43.0956461050184
705, ,6068700,0, ,0,2019,BL,242.149499754,327.462011877746
706,Summer Street,5610600,3,2,0,2022,BL,361.910896719,490.039523005777
707,Central Square,6256900,0,2,0,2017,SLM,22.0899659649,29.8865096366618
708,Belgrade Avenue,5855500,3,2,0,2009,BL,109.688634857,148.049448407081
709,Centre Street,5610000,2,3,1,2011,BL,297.699872226,402.882138460522
710,Beacon Street,5679200,3,2,0,2009,BFBL,69.5727805082,94.2564784003574
711,Beacon Street,5837300,3,2,0,2009,BL,366.560688175,495.940855214035
712,Chestnut Hill Avenue,5125700,5,2,0,2013,SLM,224.08364748,303.371207539843
713,Commonwealth Avenue,6237900,3,2,1,2013,SLM,69.4443261692,94.1042517762794
714,Chestnut Hill Avenue,5708800,5,2,0,2013,BL,35.79376138,48.4956103074349
715,Washington Street,5784100,3,2,0,2010,BL,12.3845510197,16.7324131469251
716,Washington Street,5824300,3,2,0,2010,BL,81.2613011784,109.790678030793
717,Cambridge Street,6241800,3,2,1,2010,SLM,94.3640091543,127.541799389312
718,Cambridge Street,5236900,3,2,1,2010,BL,124.81462502,168.738197932982
719,Faneuil Street,5291100,6,2,0,2017,SLM,35.86778974,48.4961439722861
720,Faneuil Street,5290800,6,2,0,2017,SLM,72.2954139547,97.7597474823215
721,Centre Street,4872600,5,2,0,2010,BL,34.2792366208,46.2889977949149
722,Veterans Of Foreign Wars Parkway,6287100,2,3,1,2013,BL,136.590373025,184.395788380261
723,Veterans Of Foreign Wars Parkway,5276300,2,3,1,2013,BL,170.029060933,229.55969974724
724,Commonwealth Avenue Frontage Road Eb,5109400,0,2,1,2013,SLM,100.322353704,135.678203201704
725,Cambridge Street,5237300,3,2,0,2010,BL,62.160366311,84.0588469089952
726,North Harvard Street,4442300,5,2,0,2012,BL,50.2866401702,68.0913538048215
727,North Harvard Street,4449900,5,2,0,2012,BL,57.0892407948,77.3044138905609
728,North Harvard Street,5104300,5,2,0,2012,BLSL,54.366148682,73.6874479423249
729,North Harvard Street,5104200,5,2,0,2012,BLSL,14.6289249101,19.8290710044428
730,North Harvard Street,5638600,5,2,0,2009,BL,98.6710378826,133.587361614336
731,Western Avenue,5151600,5,2,0,2021,SBL,58.5221099022,79.0891761832554
732,Belgrade Avenue,4897100,3,2,0,2009,BL,100.421035988,135.541403013204
733,Belgrade Avenue,4896000,3,2,0,2009,BL,64.1740262032,86.6182337734148
734,Commonwealth Avenue Frontage Road Eb,5110000,0,2,1,2013,SLM,60.8586438669,82.4866667379451
735,Cambridge Street,5193400,3,2,0,2010,BL,49.906477682,67.4753102052752
736,Everett Street,5719300,6,2,0,2017,BLSL,80.7022795723,109.423023294777
737,Western Avenue,5126100,5,2,0,2015,BLSL,80.1214971728,108.281294174836
738,Walter Street,4849600,6,2,0,2016,BLSL,52.3412843327,70.8301637302607
739,Walter Street,5738000,6,2,0,2016,BLSL,59.1416559607,79.9746918811188
740,Centre Street,6288200,5,2,1,2010,BL,216.460675452,292.816350102656
741,Veterans Of Foreign Wars Parkway,6221200,2,3,0,2013,BL,9.95686491204,13.4710616606044
742,Cambridge Street,4471100,3,2,0,2015,BLSL,25.6186888038,34.6447335061301
743,Franklin Street,4454600,0,2,0,2010,SLM,94.7067569838,128.442689367313
744,Cambridge Street,5623800,3,2,0,2015,BL,61.1307243759,82.6663692972062
745,Everett Street,5645300,6,2,0,2017,BLSL,34.3493471645,46.5755546547936
746,River Street,5737300,5,2,0,2012,BLSL,107.704951903,145.610188607612
747,River Street,5737200,5,2,0,2012,BLSL,18.1027411376,24.4721464454959
748,River Street,5074200,5,2,0,2012,SLM,71.310523015,96.2251136248443
749,River Street,5073300,5,2,0,2012,SLM,26.1789048962,35.3243158706024
750,Cummins Highway,4922400,3,2,0,2012,BL,83.3282050946,112.718716595461
751,Corinth Street,5807400,3,2,0,2009,SLM,69.6722895901,94.1830973093028
752,Walter Street,4824900,6,2,0,2016,BLSL,239.037967029,323.837200199512
753,Centre Street,5213200,2,3,1,2011,BL,25.0500707849,33.8497296314347
754,Walter Street,5222400,6,2,0,2016,SLM,29.9263396994,40.4742129226746
755,Centre Street,6221600,2,3,1,2011,BL,178.785710123,242.175585735726
756,Harvard Avenue,5871700,3,2,0,2010,BL,6.97396507389,9.449367993433
757,Brighton Avenue,5247000,3,2,1,2019,SLM,74.7092103175,100.951971737459
758,Brighton Avenue,6243200,3,2,1,2013,SLM,261.970814401,353.989152546457
759,American Legion Highway,6278100,5,2,1,2009,SLM,83.2022175582,112.277720694684
760,Washington Street,5705100,3,2,0,2009,BL-PEAKBUS,73.0523271311,98.8334812421435
761,Washington Street,4989100,3,2,0,2016,BFBL,60.0034354663,81.1443099217865
762,Perkins Street,5345800,5,3,0,2008,BL,146.405123259,197.739675041639
763,Commonwealth Avenue,5119100,3,2,1,2019,SBL,88.4564465762,119.527936209623
764,Commonwealth Avenue,6275800,3,2,1,2019,SBL,120.983392653,163.477434580514
765,Cambridge Street,6265000,3,2,1,2015,BL,64.3906046488,87.0823359342846
766,American Legion Highway,5119600,5,2,1,2020,SBL,74.8322829285,101.152381510694
767,American Legion Highway,5694900,5,2,1,2009,BFBL,201.730041042,273.004401977784
768,American Legion Highway,6291300,5,2,1,2009,SLM,21.6284667939,29.2740904150589
769,Washington Street,5117200,3,2,0,2018,SBL,103.570891592,140.293923574831
770,Blue Hill Avenue,5124000,2,2,1,2010,BL,88.8386072659,120.314161761021
771,South Street,4748300,5,2,0,2010,SLM,24.2620621725,32.8660402344623
772,Centre Street,4737100,5,2,0,2011,SLM,58.8631503163,79.501007307269
773,Centre Street,4683100,5,2,0,2010,SLM,55.2509971955,74.8423211162029
774,South Huntington Avenue,5127600,5,2,0,2010,BL,59.465398787,80.6017719763279
775,South Huntington Avenue,4635700,5,2,0,2010,BL,86.896945622,117.787330847752
776,South Huntington Avenue,5127900,5,2,0,2010,SLM,83.6592636168,113.376985973685
777,Commonwealth Avenue,5249500,3,2,1,2018,SBL,236.178638137,319.129298558919
778,Commonwealth Avenue,5118900,3,2,1,2019,SBL,120.426114823,162.727256775923
779,Commonwealth Avenue,6294401,3,2,1,2019,SBL,168.080811087,227.116252587551
780,River Street,5047700,5,2,0,2013,SLM,83.2207952652,112.442576851298
781,Centre Street,5600200,5,2,0,2011,SLM,12.7262469331,17.1961011572669
782,Ruggles Street,5365300,5,2,0,2010,SLM,45.830531663,61.9581263084715
783,Morton Street,5106400,2,1,1,2013,BFBL,84.591061056,114.20064181359
784,Rossmore Street,4757500,0,2,0,2017,SLMTC,72.6679611333,98.2690677169817
785,Williams Street,4763700,0,2,0,2017,SLMTC,227.248321578,307.410922934911
786,Centre Street,5827600,5,2,1,2010,SLM,56.2382304565,76.0532483564423
787,Huntington Avenue,5197400,3,2,0,2013,SLM,19.043391202,25.724312405888
788,Brookline Avenue,6298100,2,2,0,2013,SBL,20.2814400753,27.4578477309803
789,Commonwealth Avenue,6233700,3,2,1,2010,BL,261.838922402,353.80731134191
790,Commonwealth Avenue,6225000,3,2,1,2010,BL,112.009881904,151.351183014373
791,River Street,5729800,5,2,0,2013,SLM,71.5861734111,96.6851646673285
792,Walk Hill Street,5168200,5,2,0,2015,BL,33.7519396475,45.6403290015218
793,Morton Street,5688300,2,1,1,2013,BFBL,597.767836976,808.561489969582
794,Centre Street,4637200,5,2,0,2010,BLSL,59.5092909281,80.3688311672432
795,Longwood Avenue,5196700,5,2,0,2015,BLSL,99.1674025301,134.06255429006
796,Saint Alphonsus Street,5350900,5,2,0,2015,BL,50.1255327981,67.9088127889852
797,Mountfort Street,5782500,0,2,0,2017,BL,88.3573192212,119.399794929261
798,Beacon Street,5742700,3,2,1,2020,SBL,66.1220325348,89.3749157547105
799,Commonwealth Avenue,6224700,3,2,1,2008,BL,211.366433234,285.595220740958
800,River Street,5730200,5,2,1,2013,SLM,20.8683936148,28.2053886365956
801,Blue Hill Avenue,5175400,2,2,1,2010,SLM,51.5,69.7492851147179
802,Blue Hill Avenue,6248000,2,2,1,2010,BL,55.2619943311,74.8461881823523
803,Blue Hill Avenue,5486002,2,2,1,2010,SLM,3.46423597983,4.69204195811483
804,Blue Hill Avenue,5007300,2,2,1,2010,BL,312.58612279,423.384390191737
805,Blue Hill Avenue,5124100,2,2,1,2010,BL,89.7229956183,121.511343943798
806,Walnut Avenue,4720000,6,2,0,2011,SLM,71.8630213645,97.3609372572414
807,Walnut Avenue,5308300,6,2,0,2011,SLM,75.4129494015,101.920100845028
808,Blue Hill Avenue,5691200,3,2,1,2012,BL,63.3821866056,85.8555754599474
809,Blue Hill Avenue,6278300,3,2,1,2012,SLM,262.401886508,355.443244427505
810,Blue Hill Avenue,6232000,3,2,1,2012,BL,49.3420656231,66.8414668329958
811,Blue Hill Avenue,6227400,3,2,1,2012,SLM,39.7210723003,53.8111885815261
812,Walnut Avenue,5598700,6,2,0,2011,SLM,14.2222931901,19.247925370191
813,Walnut Avenue,4698300,6,2,0,2011,SLM,38.9091292409,52.6512150541601
814,Walnut Avenue,4677700,6,2,0,2011,SLM,88.6805267308,119.875959398728
815,Ritchie Street,4642400,6,2,0,2011,SLM,33.0272237554,44.6162780713841
816,Huntington Avenue,5313200,3,2,1,2013,SLM,148.364553416,200.558203169333
817,Huntington Avenue,6290000,3,2,1,2012,SLM,22.0996416556,29.8838253901333
818,Beacon Street,5459900,3,2,0,2009,SLM,94.6022613948,127.845923133972
819,Bay State Road,5457900,6,2,0,2019,CFBL,199.566767651,269.64160984976
820,Commonwealth Avenue,6270102,3,2,1,2010,BL,76.0117996603,102.697811861644
821,Babcock Street,5351200,0,2,0,2014,SLM,40.7828257474,55.3020525033119
822,Babcock Street,4478800,0,2,0,2014,BLSL,104.900479419,142.244958325677
823,Western Avenue,4436000,5,2,0,2021,SBL,90.2123399752,121.930217730836
824,Cummins Highway,5161900,3,2,0,2020,SBL,24.4335656597,33.0091014763478
825,Washington Street,5629800,3,2,0,2018,SBL,62.7982052726,85.0050273622872
826,Washington Street,4744200,3,2,0,2016,SLM,30.7687502754,41.6428162211429
827,Washington Street,5734000,3,2,0,2016,SLM,33.0819742809,44.7821642539466
828,Washington Street,5734200,3,2,0,2016,SLM,70.1174788493,94.9039981071346
829,Washington Street,4701300,3,2,0,2016,SLM,139.041401941,188.202790908441
830,Washington Street,4688900,3,2,0,2016,SLM,74.2226806071,100.467619562475
831,Park Drive,4544700,3,3,0,2019,BL,149.607631982,202.473456170139
832,Walnut Entrance,5313000,0,2,0, ,SUP,65.861740132,89.0761015772416
833,Washington Street,5162400,3,2,0,2016,SLM,17.3850363036,23.5361587584908
834,Washington Street,4679500,3,2,0,2016,SLM,84.5707425777,114.472241976084
835,Washington Street,4670000,3,2,0,2016,SLM,156.294849189,211.570869055384
836,Washington Street,4662900,3,2,0,2016,SLM,173.354410674,234.654415697426
837,Norfolk Street,4942900,5,2,0,2017,BL,96.7510552462,130.851969706366
838,Blue Hill Avenue,4918100,3,2,1,2010,BL,66.4309538599,89.9680214427937
839,Blue Hill Avenue,5111000,3,2,1,2010,BL,74.6132705332,101.059713958502
840,Blue Hill Avenue,5111100,3,2,1,2010,BL,73.0970560557,99.0062305341326
841,Blue Hill Avenue,4871900,3,2,1,2010,BL,186.862704687,253.100498394784
842,Warren Street,5601500,5,2,1,2011,BL,108.291650029,146.753874306593
843,Warren Street,5601400,5,2,1,2011,BL,113.291858328,153.533908074974
844,Walnut Avenue,5741400,6,2,0,2011,BLSL,88.3536581951,119.664545001062
845,Martin Luther King Boulevard,6239700,5,2,1,2010,BL,236.338825816,319.396183895581
846,Massachusetts Avenue,5200600,3,2,0,2016,SBLBL,50.0049823293,67.7763845591572
847,Massachusetts Avenue,5200500,3,2,0,2016,SBLBL,42.3888855635,57.4562403218755
848,Boylston Street,5809600,3,2,0,2016,BLSL,126.942279567,171.578136054334
849,Massachusetts Avenue,5200400,3,2,0,2016,SBL,46.2381631247,62.6668234887707
850,Commonwealth Avenue,6209300,3,2,1,2010,BL,132.245017559,178.753548615101
851,Massachusetts Avenue,5770300,3,2,1,2011,BL,187.960797773,254.47942615799
852,Massachusetts Avenue,5273600,3,2,1,2011,BL,139.185637287,188.403249881441
853,Huntington Avenue,5978500,3,2,1,2012,SLM,42.2035185159,57.1316792146146
854,Huntington Avenue,5595800,3,2,1,2014,BL,114.161013204,154.563350782725
855,Beacon Street,4477200,3,2,0,2018,SBL,188.919482539,255.378830854549
856,Cambridge Street,5226900,3,2,0,2011,BL,35.9140509903,48.5532199888575
857,Beacon Street,4491700,3,2,0,2018,SBL,218.975350138,295.990085445129
858,Old Road,6282800,0,2,1,2009,BL,49.2639664537,66.5809263413277
859,Blue Hill Avenue,5223000,5,2,1,2010,BL,91.1565672922,123.518935644022
860,Columbia Road,6257900,5,2,1,2010,SLM,53.33523189,72.0098116535746
861,Blue Hill Avenue,5223100,5,2,1,2010,BL,78.3652421983,106.179373533069
862,Blue Hill Avenue,6240600,5,2,1,2010,BL,75.5623643637,102.334709070976
863,Blue Hill Avenue,6290400,5,2,1,2010,BL,111.174271655,150.533873106681
864,Warren Street,5601100,5,2,1,2011,BL,143.056564363,193.876643324217
865,Dorchester Avenue,5590100,3,2,0,2011,BLSL,119.702211338,162.297839280963
866,Massachusetts Avenue,5831400,3,2,1,2011,BL,175.718438697,237.827369525997
867,Columbus Avenue,5845500,3,2,0,2009,BL,80.449765395,108.903753268711
868,Dartmouth Street,4523800,5,2,0,2011,SLM,54.077835097,73.2959858873634
869,Columbia Road,5392300,5,2,1,2010,SLM,58.7110065087,79.5008668555194
870,Norfolk Street,5217700,5,2,0,2017,BL,58.13835039,78.6733627994708
871,Talbot Avenue,5847400,5,2,0,2010,SLM,73.5394550685,99.3179164599907
872,New England Avenue,4841000,0,2,0,2018,SLMTC,122.102031809,165.260256122607
873,Talbot Avenue,5759500,5,2,0,2010,SLM,23.6476562692,31.9372964602353
874,Talbot Avenue,4839200,5,2,0,2010,SLM,47.8854402292,64.6685471327128
875,Norfolk Street,4860100,5,2,0,2017,BL,72.9123730614,98.4602901475802
876,Geneva Avenue,5573200,5,2,0,2016,SLM,17.4568247862,23.6134652809073
877,Columbia Road,6239000,5,2,1,2010,BL,71.6812545737,96.8523225268685
878,Geneva Avenue,4753200,5,2,0,2016,SLM,95.9092228496,129.695948352047
879,Columbia Road,5733000,5,2,1,2010,BFBL,87.0418604959,117.716555160812
880,Dartmouth Street,4525400,5,2,0,2011,SLM,32.8292500573,44.4960457556389
881,Dartmouth Street,5663200,5,2,0,2011,SLM,36.1571104356,49.0076873497426
882,St James Avenue,4501900,3,2,0,2015,SLM,95.1944697468,128.689736770169
883,Stuart Street,4508300,3,2,0,2017,BL,93.3479935795,126.172800043868
884,Dartmouth Street,5269200,5,2,0,2020,BFBL,44.4353253635,60.2343181693553
885,Dartmouth Street,4486900,5,2,0,2011,BL,43.047991846,58.351009412223
886,Commonwealth Avenue,4483200,3,2,1,2010,BL,188.262898034,254.48571585229
887,Beacon Street,4465500,3,2,0,2018,SLM,153.760407101,207.849755542334
888,Cambridge Street,45727700,3,2,0,2011,BL,69.4397366283,93.9297124774241
889,Sullivan Square,5619400,3,2,0,2014,BFBL,97.5322613063,132.004673987357
890,Dorchester Avenue,5398401,3,2,0,2010,SLM,37.8650809064,51.2783941412583
891,Talbot Avenue,4847300,5,2,0,2010,SLM,32.4547035555,43.8077434383098
892,Geneva Avenue,4771200,5,2,0,2016,SLM,66.534199671,89.9577002338654
893,Geneva Avenue,4762800,5,2,0,2016,SLM,81.467477538,110.242310011655
894,Columbia Road,6230000,5,2,1,2010,BL,104.998808133,142.02595278874
895,Columbia Road,6230200,5,2,1,2010,BL,125.630168244,170.166773206811
896,Albany Street,5677500,5,2,0,2012,BL,118.662818711,160.574023128253
897,Albany Street,5678100,5,2,0,2012,BL,29.4582145946,39.8604431839608
898,Washington Street,5133100,3,2,0,2011,SLM,106.160011631,143.699931005129
899,Washington Street,5716300,3,2,0,2016,SLM,270.211758198,365.580513793389
900,Morton Street,5135600,2,1,1,2020,BL,72.9080990972,98.5537342610799
901,Quincy Street,4703300,5,2,0,2019,SLM,47.9510149742,64.7985961583743
902,Washington Street,5147000,5,2,0, ,SLM,19.1872065003,25.993058661638
903,Quincy Street,5835000,5,2,0,2019,SLM,37.5607376479,50.7490782197275
904,Adams Street,5695700,5,2,0,2017,BL,24.8391032403,33.5404063911821
905,Adams Street,5868600,5,2,0,2017,BFBL,18.7877770569,25.4139993273307
906,Dorchester Avenue,5198700,3,2,0,2010,SLM,47.1670457612,63.8865862620217
907,Dorchester Avenue,4883000,3,2,0,2011,SLM,63.4662390124,85.9642849260939
908,Ashmont Street,5574500,5,2,0,2013,SLM,20.0409056813,27.0562278217613
909,Dorchester Avenue,5152500,3,2,0,2011,SLM,45.6666259334,61.8593919372026
910,Geneva Avenue,5687200,5,2,0,2016,SLM,30.6834546722,41.4818445596716
911,Dorchester Avenue,4785200,3,2,0,2011,SLM,126.458826929,171.316988829388
912,D Street,5591300,5,2,0,2013,BLSL,11.934286854,16.1583070346386
913,Dorchester Avenue,46178200,3,2,1,2011,BFBL,119.321433504,161.771743281921
914,Dorchester Avenue,4536500,3,2,1,2011,SLM,69.0362431001,93.5911342250804
915,Mount Vernon Street,6305001,6,2,1,2013,BFBL,365.325715713,493.657093137632
916,Old Colony Avenue,5736900,3,3,1,2016,BFBL,166.727791755,226.007351259528
917,Columbia Road,5392500,5,2,1,2010,SLM,79.8686594078,108.119403158652
918,Kneeland Street,5760500,3,2,0,2017,SBLBL,15.7697634834,21.3139548080067
919,Essex Street,5293600,5,2,0,2012,SLM,45.0730144803,60.9001922374827
920,Winter Street,5419400,0,2,0,0,PED,92.9489841887,125.725795823665
921,Washington Street,5366401,0,2,0,0,PED,125.787703774,170.336582616128
922,Warren Street,5779500,5,2,0,2012,BL,58.7730801635,79.5802756348271
923,Warren Street,4423700,5,2,0,2012,BL,43.8159476823,59.331341145293
924,Main Street,5521900,5,2,0,2011,BL,55.9320514658,75.7364947916897
925,Oliver Street,5451500,0,2,0,2011,SLM,90.9316894322,123.128062403083
926,Seaport Boulevard,45232300,3,2,0,2012,SLM,16.7003873694,22.5892524234334
927,Saratoga Street,4392100,5,2,0,2012,BLSL,200.240102412,270.880168706239
928,Ashmont Street,5131300,5,2,0,2013,SLM,90.7051801743,122.497380131149
929,Ashmont Street,5131400,5,2,0,2013,SLM,65.7436265974,88.7783740095803
930,Adams Street,6252000,5,2,0,2013,SLM,72.657988327,98.3763508105757
931,Neponset Avenue,4795400,5,2,0,2012,BL,64.2816634913,86.9283220503169
932,Dorchester Avenue,4746700,3,2,0,2011,SLM,33.4142651006,45.2748847824538
933,Freeport Street,4755600,3,2,0,2013,BL,41.5269752273,56.1651881468986
934,Dorchester Avenue,4712700,3,2,0,2011,BL,106.739626352,144.645901382117
935,Dorchester Avenue,4697600,3,2,0,2011,BL,55.1430276661,74.7272489045586
936,Dorchester Avenue,4678300,3,2,0,2011,BL,66.7638410281,90.4883475592361
937,Dorchester Avenue,4685500,3,2,0,2011,BL,100.013323748,135.551466172504
938,Dorchester Avenue,4660000,3,2,0,2011,BL,85.5559122921,115.963037924719
939,Dorchester Avenue,4633000,3,2,0,2011,BL,77.2958043758,104.774440240165
940,Dorchester Avenue,5844800,3,2,0,2011,SLM,45.2464502166,61.3330432774326
941,Surface Artery,5587500,3,2,0,2011,BL,113.905173367,154.418367904329
942,High Street,5349500,5,2,0,2011,BL,95.8601105657,129.680192390575
943,High Street,5490800,3,2,0,2011,BL,42.3232618362,57.3182677737147
944,Purchase Street,5651800,3,2,0,2011,SLM,42.2432164587,57.1491741555874
945,Purchase Street,5482300,3,2,0,2011,BL,33.4322431235,45.2279144352932
946,Franklin Street,5492200,5,2,0,2016,PED,85.5119360867,115.841603110211
947,Milk Street,5834200,5,2,0,2011,BL,38.6093955281,52.170754763087
948,Broad Street,5279400,5,2,0,2013,SLM,36.0766526197,48.9069325944214
949,Oliver Street,5391600,0,2,0,2011,BLSL,111.913462804,151.523558588216
950,Oliver Street,5391500,0,2,0,2011,BL,89.4897797572,121.129459119089
951,Cross Street,45227300,3,2,0,2014,BL,63.848180762,86.4022254582694
952,North Washington Street,5793700,3,2,0,2019,SLM,104.639594258,141.93113903872
953,Salem Street,5243300,0,2,0,2013,SLM,11.2540242297,15.2547918445424
954,First Avenue,5996700,0,8,0,0,SLM,25.3698599402,34.3524006754095
955,Neponset Avenue,4848700,5,2,0,2012,BLSL,46.8578953213,63.420520570242
956,Freeport Street,5488704,3,2,0,2013,SLM,195.753181009,265.133302929673
957,Columbia Road,6298600,3,1,1,2016,BFBL,240.198642153,325.531347959247
958,Marginal Road,4510900,5,2,0,2019,BL,123.91752752,167.438683210071
959,Charles Street,5264200,3,2,0,2020,SBL,39.4020049195,53.4135577424928
960,Park Plaza,4486500,3,2,0,2020,BL,54.66017934,73.8589364293595
961,Beacon Street,4461800,3,2,0,2020,SBL,64.928645789,87.7674413282783
962,Beacon Street,4460800,3,2,0,2020,SBL,119.586242742,161.632886001334
963,Charles Street Circle,5873700,3,3,1,2018,SLM,62.137744651,84.0098648529371
964,West Fourth Street,5672401,3,1,0,2021,SBLBL,49.7964429439,67.2994276478671
965,Shawmut Avenue,5626000,5,2,0,2020,SBL,91.6205141913,124.226536677183
966,Marginal Road,4511500,5,2,0,2019,BL,115.031847457,155.473888588731
967,Harrison Avenue,5238000,5,2,0,2019,BL,67.6473283229,91.7051584318537
968,Harrison Avenue,4509000,5,2,0,2019,BL,54.3610361392,73.690117720173
969,Harrison Avenue,4505500,5,2,0,2019,BL,61.4958943177,83.3705840626217
970,Tremont Street,4473100,3,2,0,2020,SBL,207.318369356,281.029086767903
971,Summer Street,5626701,3,2,1,2019,SBL,175.586655354,237.445848633678
972,Summer Street,45265500,3,2,1,2019,SBL,183.73057241,248.513586608943
973,Beach Street,5347200,0,2,0, ,SLM,37.8550771962,51.159917541702
974,Congress Street,5266500,3,2,1,2022,SLM,148.656607377,201.572712188467
975,D Street,5473000,5,2,0,2013,BL,49.4414887395,66.9434887300366
976,D Street,4568200,5,2,0,2013,BLSL,46.2589942447,62.6236413877377
977,D Street,4561800,5,2,0,2013,BLSL,44.8029496824,60.6444017189311
978,Seaport Boulevard,6197700,3,2,0,2012,SLM,57.9341101218,78.4335448005439
979,Broad Street,5487200,5,2,0,2013,SLM,32.6462413665,44.1514292369249
980,Atlantic Avenue,5424100,3,2,0,2011,BL,84.6880456233,114.703875621142
981,High Street,5624700,3,2,0,2011,BL,57.9624507426,78.3359859048786
982,Commercial Street,5149700,5,2,0,2017,SBL,39.5470473263,53.4939431256795
983,Neponset Avenue,5205700,5,2,0,2012,BLSL,80.6494378548,108.963587415823
984,Drydock Avenue,5278600,0,2,0,2013,BL,213.460805885,288.380323761711
985,Northern Avenue,5198300,5,5,0,2017,SLM,110.796686054,149.818321017754
986,Marginal Street,4432700,0,2,0,2015,SLM,173.36241541,234.507124407043
987,Maverick Street,4430000,5,2,0,2015,BL,63.6171911613,86.0581474633148
988,Chelsea Street,5281800,5,2,0,2010,BL,31.3673375519,42.4838462629078
989,Chelsea Street,5717600,5,2,0,2010,BL,37.8943791397,51.3252889600239
990,Meridian Street,4416600,3,2,0,2013,BLSL,80.4122700806,109.090617602069
991,Maverick Street,4433400,0,2,0,2015,BL,92.8910924124,125.649188326807
992,Veterans Of Foreign Wars Parkway,5171000,2,3,1,2013,SLM,86.5061939064,116.981003827111
993,Faneuil Street,4479000,6,2,0,2017,BL,85.4274758397,115.648185181877
994,Bennington Street,4393300,5,2,0,2008,SLM,228.983619253,309.74533441702
995,Saratoga Street,5826300,5,2,1,2012,BL,114.996253597,155.573466850486
996,Veterans Of Foreign Wars Parkway,5017700,2,3,1,2013,BL,223.958531623,303.215460494027
997,Veterans Of Foreign Wars Parkway,6213600,2,3,1,2013,BL,106.93668177,144.665832537222
998,Veterans Of Foreign Wars Parkway,6288900,2,3,1,2013,SLM,80.1852759514,108.5829126978
999,Veterans Of Foreign Wars Parkway,6238900,2,3,1,2013,BL,77.3200406864,104.730420852801
1000,Beacon Street,5357800,3,2,0,2009,BL,55.139042948,74.4850871707162
1001,Faneuil Street,5454600,3,2,0,2017,SLM,42.4797075847,57.4163914484702
1002,Washington Street,5799300,3,2,0,2010,BL,98.164089136,132.813814769025
1003,Faneuil Street,5363900,6,2,0,2017,BL,78.6793715191,106.380757634383
1004,Faneuil Street,4486700,6,2,0,2017,SLM,35.0819612618,47.4236255718346
1005,Veterans Of Foreign Wars Parkway,6212300,2,3,1,2013,SLM,132.725590415,179.362429973468
1006,Faneuil Street,4464700,6,2,0,2017,SLM,162.334156819,219.468036033243
1007,Market Street,4488700,5,2,0,2013,BL,110.464759356,149.709647750698
1008,Summer Street,45263200,3,2,1, ,BFBL,194.409051581,263.058982055026
1009,University Of Massachusetts Access Road,5438801,0,B,0,2019,BL,135.036719546,182.437986319761
1010,Mount Vernon Street,4676100,6,2,0,2019,SBL,58.3721779049,78.8718026204236
1011, ,6066300,0, ,0,2019,SBL,90.1165223643,121.730466309506
1012,Central Square,5858800,0,2,0,2017,SLM,23.0794733172,31.2313529521547
1013,Beacon Street,5248700,3,2,0,2009,BL,458.83322523,620.563745041437
1014,Commonwealth Avenue,6227000,3,2,1,2013,BL,257.210612225,347.741291760736
1015,Lake Street,5786200,6,2,0,2011,BL,17.3463438964,23.5012795584202
1016,Brighton Avenue,5262000,3,2,1,2019,SLM,100.718128316,136.099332672991
1017,Brighton Avenue,5261800,3,2,1,2019,SLM,72.477336879,97.9382238727063
1018,Harvard Avenue,5576000,3,2,0,2010,BL,13.6020732388,18.4445669714437
1019,Harvard Avenue,5262800,3,2,0,2010,BL,142.403611199,193.056516042318
1020,Brighton Avenue,5426600,3,2,1,2019,SLM,78.5708389568,106.169976134156
1021,Franklin Street,5279600,0,2,0,2010,SLM,47.8815366063,64.8942432053714
1022,Chestnut Hill Avenue,4551100,5,2,0,2013,SLM,69.6192321299,94.3395525433231
1023,Chestnut Hill Avenue,5846000,5,2,0,2013,BL,42.5166919865,57.6135598554325
1024,Commonwealth Avenue Frontage Road Eb,5108200,0,2,1,2013,SLM,56.7097079425,76.8546131771517
1025,Commonwealth Avenue Frontage Road Eb,5108500,0,2,1,2013,SLM,91.8980505426,124.333329156181
1026,Commonwealth Avenue Frontage Road Eb,5108700,0,2,1,2013,SLM,300.450776788,406.03735238025
1027,Chestnut Hill Avenue,5656500,5,2,0,2013,BLSL,106.728648209,144.679927084392
1028,Market Street,5589500,5,2,1,2013,BLSL,37.7240145258,51.1546048951395
