ID,NAME,CAPACITY
451,Washington Sq,15
452,Beacon St at St. Paul St,15
453,Beacon St at Hawes St,15
454,Boylston St at Dartmouth St,15
455,Coolidge Sq.,12
456,Graham and Parks School â€“ Linnaean St at Walker St,15
457,N. Beacon St at N. Beacon Ct,15
458,Watertown Sq,15
459,Canal St at Causeway St,15
46,Christian Science Plaza - Massachusetts Ave at Westland Ave,19
460,Broad St at Central St,15
461,Railroad Lot and Minuteman Bikeway,11
462,Linwood St at Minuteman Bikeway,11
463,Smith Pl at Wilson Rd,19
464,Mass Ave at Grafton St,15
465,Broadway at Grafton St,15
466,Centre St at Washington St,11
467,Washington St at Crafts St,11
468,Nonantum Library,15
469,Bacon St at Washington St,11
47,Cross St at Hanover St,19
470,Union St at Herrick Rd â€“ Newton Centre Green Line,15
471,MIT Carleton St at Amherst St,27
472,MIT Hayward St at Amherst St,27
473,West Newton,15
474,West Newton Armory,15
475,Arsenal Yards,14
476,Boylston St at Charles St,15
477,Marion St at White St,15
478,Gove St at Orleans St,19
479,Galileo Galilei Way at Main Street,19
48,Post Office Square,15
480,Thorndike Field at Minuteman Bikeway,11
481,645 Summer St,19
482,Kearins Playground,11
483,Porzio Park,17
484,Revere Public Library,11
485,Revere City Hall,11
486,Langley Lot,11
487,Community Path at Lowell St,19
488,Martha Eliot Health Center,16
489,Day Sq,16
49,Stuart St at Charles St,18
490,Blue Hill Ave at Havelock St,18
491,Harrison Ave at E. Dedham St,19
492,Harvard Stadium: N. Harvard St at Soldiers Field Rd,15
5,Northeastern University - North Parking Lot,15
50,Boylston St at Berkeley St,15
51,Washington St at Lenox St,15
52,Newbury St at Hereford St,15
53,Beacon St at Massachusetts Ave,15
54,Tremont St at West St,15
55,Boylston St at Massachusetts Ave,15
56,Dudley Square - Bolling Building,0
57,Massachusetts Ave at Columbus Ave,13
58,Mugar Way at Beacon St,19
59,Chinatown Gate Plaza,19
6,Cambridge St at Joy St,15
60,Charles Circle - Charles St at Cambridge St,19
61,Boylston St at Fairfield St,19
63,Dorchester Ave at Gillette Park,15
64,Congress St at Sleeper St,15
